date,AEP,AMZN,CAT,JPM,XOM
5/23/2012,30.6212921,217.28,77.89495871,29.54861552,68.93493957
5/24/2012,30.77524938,215.24,77.0104588,29.29849589,69.41388783
5/25/2012,30.97782474,212.89,75.76373512,28.89312959,68.96854997
5/29/2012,31.17229709,214.75,77.93707776,29.00525218,68.84251096
5/30/2012,30.9535157,209.23,75.96590653,28.42738959,67.04435432
5/31/2012,31.20470915,212.91,73.80941151,28.59126107,66.06965259
6/1/2012,31.10747298,208.22,72.04041169,27.53903367,65.47306791
6/4/2012,31.13178202,214.57,70.13663093,26.73692589,65.3974445
6/5/2012,31.53693275,213.21,70.46515947,27.59078256,65.20418467
6/6/2012,31.99070157,217.64,73.00072588,28.52226256,67.37205576
6/7/2012,31.99070157,218.8,73.4050687,28.29801737,67.80058842
6/8/2012,32.18517392,218.48,73.79256389,29.04837626,67.92662744
6/11/2012,32.0636287,216.5,71.76242601,28.30664219,67.44767917
6/12/2012,32.19327693,216.42,73.32925442,29.12599959,68.27953668
6/13/2012,32.1770709,214.73,71.84666409,29.58311478,67.75017281
6/14/2012,32.28241009,214.45,72.35209261,29.88498329,69.01056298
6/15/2012,32.36344024,218.35,73.22816871,30.21272626,69.9264465
6/18/2012,32.46877943,222.66,73.06811635,29.85910885,69.83401789
6/19/2012,32.42826435,224.03,74.83711617,30.51459477,70.98517424
6/20/2012,32.1203498,223.02,73.43034012,31.43744996,71.3969017
6/21/2012,31.68278701,220.575,71.58552602,30.62671737,68.99375778
6/22/2012,31.80433223,222.16,71.56867841,31.04070848,68.99375778
6/25/2012,31.73950811,220.07,69.82495001,30.46284589,68.26273148
6/26/2012,31.91777444,225.61,69.69016907,30.79921366,69.23743321
6/27/2012,32.19327693,225.62,69.28582626,31.72206885,69.9096413
6/28/2012,32.35533722,221.31,69.60593099,30.94583552,69.82561529
6/29/2012,32.33102818,228.35,71.52655936,30.81646329,71.90105776
7/2/2012,32.75238494,229.32,70.4904309,31.29082811,71.70779794
7/3/2012,33.2304628,229.53,72.83224971,31.20457996,72.49764244
7/5/2012,33.25477184,227.06,73.11023539,29.90004066,71.90105776
7/6/2012,33.18994772,225.05,71.2738451,29.48258809,71.25405748
7/9/2012,33.12512361,225.05,70.03554523,29.53476966,70.28775835
7/10/2012,33.24666883,219.5,67.61791214,29.78698059,69.83401789
7/11/2012,33.31149294,218.37,67.17145028,30.08267616,70.90114823
7/12/2012,33.49786228,215.36,67.0872122,29.60434509,70.6826806
7/13/2012,33.78146779,218.39,69.1341977,31.3698216,71.81703175
7/16/2012,33.91921904,216.01,68.35920731,30.5175226,71.46412251
7/17/2012,33.95973411,216.93,68.99941676,30.43055331,72.03549938
7/18/2012,33.95973411,217.47,69.95130714,30.40446252,72.43882424
7/19/2012,34.03266124,226.17,70.04455295,29.96961609,72.43882424
7/20/2012,33.97594014,228.29,68.62043521,29.48258809,72.22035661
7/23/2012,33.78146779,226.01,69.15447936,29.95222224,71.59856412
7/24/2012,33.57889242,223.04,69.02732599,30.20443317,71.06920025
7/25/2012,33.4006261,217.05,70.01912227,30.58709803,71.62377193
7/26/2012,33.99214617,220.01,70.61250467,31.14370146,72.69930487
7/27/2012,34.37298785,237.32,73.03689558,32.08296975,73.48074677
7/30/2012,34.49453307,236.09,72.63848169,31.4307001,73.57317539
